deal_id,state,product_type,seller_channel,partnership,sourcing_vendor,closing_vendor,broker,deal_status,purchase_date,sold_date,purchase_year,holding_period_months,days_on_market,contract_price,purchase_price,rehab_and_interest,total_cost,loan_amount,total_cash_required,sales_price,sales_closing_costs,sales_closing_pct,sales_proceeds,actual_profit,unleveraged_irr,leveraged_irr,straight_roi,annualized_roi,bpo_value,bpo_variation,profit_estimate,profit_variation,rehab_estimate,rehab_actual_broker,rehab_differential,buy_side_cost_estimate,total_cost_estimate,total_cost_actual_w_rehab,debt_service,under_contract_flag,listed_flag,burden_profit,unleveraged_irr_raw,leveraged_irr_raw,profit_margin_pct
DEAL-025,NV,CONDO,SHORT SALE,Partner_03,Vendor_07,Vendor_07,Broker_01,Sold,2011-05-17,2011-08-18,2011,3.1,93,225000.0,236979.0,25785.0,262764.0,140000.0,122764.0,300659.0,22658.0,0.07536112339893368,278001.0,15237.0,,0.6668391730636358,0.057987395533634745,0.22758493945996433,310000.0,0.9698677419354839,38777.0,0.39293911339195914,0.0,,0.0,21424.0,21424.0,25785.0,,False,False,15149.7,,0.6668391730636358,0.057987395533634745
DEAL-026,NV,CONDO,SHORT SALE,Partner_03,Vendor_07,Vendor_01,Broker_01,Sold,2011-06-03,2011-07-15,2011,1.4,42,51000.0,52136.0,4916.8,57052.8,0.0,57052.8,61646.0,970.0,0.015735003082114007,60676.0,3623.2,0.7485912680625915,,0.06350608559089124,0.5518981247779835,,,,,,,0.0,,0.0,4916.8,,False,False,3603.412,0.7485912680625915,,0.06350608559089124
DEAL-027,CA,CONDO,AUCTION,Partner_03,Vendor_01,Vendor_14,Broker_09,Sold,2011-06-23,2011-09-26,2011,3.1,95,102900.0,105966.0,4156.52,110122.52,0.0,110122.52,147538.0,13877.0,0.09405712426629072,133661.0,23538.48,1.1335174679756168,,0.2137481052921782,0.8212427203331057,,,,,,,0.0,,0.0,4156.52,,False,False,23498.554799999998,1.1335174679756168,,0.2137481052921782
DEAL-028,NY,COMMERCIAL,AUCTION,Partner_19,Vendor_11,Vendor_01,Broker_02,Sold,2011-07-14,2016-06-30,2011,59.6,1813,215000.0,215000.0,-27658.0,187342.0,,187342.0,665000.0,19000.0,0.02857142857142857,646000.0,458658.0,0.2667202651500702,,2.448239049438994,0.49288872203267114,,,,,,,,,,-27658.0,,False,False,458574.58,0.2667202651500702,,2.448239049438994
DEAL-029,NV,SFR,TRUSTEE SALE,Partner_02,Vendor_18,Vendor_08,Broker_01,Sold,2011-08-01,2011-08-31,2011,1.0,30,165000.0,165000.0,9040.0,174040.0,0.0,174040.0,205163.0,16300.0,0.0794490234593957,188863.0,14823.0,1.7744297862052918,,0.08517007584463342,1.036235922776373,,,,,,,0.0,,0.0,9040.0,,False,False,14758.98,1.7744297862052918,,0.08517007584463342
DEAL-030,CA,SFR,AUCTION,Partner_08,Vendor_01,Vendor_06,Broker_11,Sold,2011-08-11,2012-10-09,2011,14.0,425,325500.0,344177.58,136904.41999999998,481082.0,225000.0,256082.0,468000.0,25662.0,0.061961924563854326,442338.0,-38744.0,,-0.17631048560142518,-0.08053512706773482,-0.06916546206993696,,,,,,,0.0,,0.0,136904.41999999998,,False,False,-38870.294,,-0.17631048560142518,-0.08053512706773482
DEAL-031,NV,SFR,AUCTION,Partner_02,Vendor_01,Vendor_04,Broker_01,Sold,2011-08-12,2012-01-06,2011,4.8,147,77175.0,79028.0,9034.39,88062.39,0.0,88062.39,93978.0,6487.0,0.06902679350486284,87491.0,-571.3899999999999,-0.016888150572776796,,-0.006488468005467486,-0.016110821918337636,,,,,,,0.0,,0.0,9034.39,,False,False,-601.3338999999999,-0.016888150572776796,,-0.006488468005467486
DEAL-032,NV,SFR,TRUSTEE SALE,Partner_02,Vendor_18,Vendor_04,Broker_01,Sold,2011-08-22,2012-01-10,2011,4.6,141,143600.0,143600.0,20429.68,164029.68,0.0,164029.68,186553.0,11294.0,0.06054043622991857,175259.0,11229.32,0.20024883151054382,,0.06845907399197511,0.17721675182319796,,,,,,,0.0,,0.0,20429.68,,False,False,11173.6032,0.20024883151054382,,0.06845907399197511
DEAL-033,NV,SFR,TRUSTEE SALE,Partner_02,Vendor_18,Vendor_05,Broker_01,Sold,2011-08-24,2012-04-24,2011,8.0,244,97900.0,97900.0,12584.52,110484.52,0.0,110484.52,120000.0,11437.0,0.09530833333333333,108563.0,-1921.52,-0.027453288435935978,,-0.017391757686959223,-0.026016358835000475,,,,,,,0.0,,0.0,12584.52,,False,False,-1959.5052,-0.027453288435935978,,-0.017391757686959223
DEAL-034,HI,SFR,AUCTION,Partner_08,Vendor_01,Vendor_03,Broker_15,Sold,2011-08-31,2011-11-16,2011,2.5,77,294000.0,309558.0,16991.0,326549.0,214000.0,112549.0,438000.0,31476.0,0.07186301369863014,406524.0,79975.0,,14.254231229424477,0.24490964602555818,1.1609353350562173,,,,,,,,,,16991.0,,False,False,79860.928,,14.254231229424477,0.24490964602555818
DEAL-035,NV,MULTI,AUCTION,Partner_03,Vendor_01,Vendor_01,Broker_01,Sold,2011-09-23,2012-10-02,2011,12.3,375,99750.0,106078.0,45214.3,151292.3,65134.0,86158.29999999999,185546.0,14169.0,0.07636381274724327,171377.0,20084.7,,0.3139327513054013,0.13275427764664827,0.129214163576071,120000.0,1.5462166666666666,860.0,23.354302325581397,0.0,,0.0,9790.0,9790.0,45214.3,,False,False,20045.997,,0.3139327513054013,0.13275427764664827
DEAL-036,HI,CONDO,AUCTION,Partner_03,Vendor_01,Vendor_14,Broker_46,Sold,2011-09-28,2011-12-12,2011,2.5,75,78750.0,87823.0,5266.5,93089.5,60000.0,33089.5,175319.0,17631.0,0.10056525533456157,157688.0,64598.5,,,0.6939397031888667,3.3771732221858177,115000.0,1.5245130434782608,19210.0,3.362753774076002,0.0,,,,,5266.5,,False,False,64567.945,,274.0403151512146,0.6939397031888667
DEAL-037,NV,CONDO,AUCTION,Partner_02,Vendor_01,Vendor_08,Broker_01,Sold,2011-09-28,2011-11-10,2011,1.4,43,47500.0,49546.0,2686.0,52232.0,0.0,52232.0,58233.0,336.0,0.00576992426974396,57897.0,5665.0,1.4498101115226747,,0.10845841629652321,0.9206353941449062,,,,,,,0.0,,0.0,2686.0,,False,False,5646.57,1.4498101115226747,,0.10845841629652321
